Name of Institution,Street Address,City,ZIP Code,County,Georeference
ACMG Federal Credit Union,1753 MILTON AVENUE,SOLVAY,13209,Onondaga,POINT (-76.205397479 43.060961931)
ACMG Federal Credit Union,4659 ONONDAGA BOULEVARD,SYRACUSE,13219,Onondaga,POINT (-76.192299834 43.033161211)
ACMG Federal Credit Union,4800 SOUTH SALINA STREET,SYRACUSE,13205,Onondaga,POINT (-76.142790331 43.000635815)
Abacus Federal Savings Bank,36-30 MAIN STREET,FLUSHING,11354,Queens,POINT (-73.831756326 40.762284999)
Abacus Federal Savings Bank,4824 8TH AVENUE,BROOKLYN,11220,Kings,POINT (-74.003163732 40.64185042)
Abacus Federal Savings Bank,6-8 Bowery,New York,10013,New York,POINT (-73.997548779 40.714339046)
Access Federal Credit Union,2094 Glenwood Plaza,Oneida,13421,Madison,POINT (-75.632503655 43.053702789)
Access Federal Credit Union,74-76 Main Street,Camden,13316,Oneida,POINT (-75.748323414 43.335078789)
Access Federal Credit Union,230 South James Street,Rome,13440,Oneida,POINT (-75.460376793 43.208644485)
Access Federal Credit Union,6 Franklin,Clinton,13323,Oneida,POINT (-75.382458202 43.047480939)
Access Federal Credit Union,390 West Seneca Street,Sherrill,13461,Oneida,POINT (-75.606382003 43.077503281)
Adirondack Bank,808 Main Street,Sylvan Beach,13157,Oneida,POINT (-75.728669779 43.199089157)
Adirondack Bank,67 Main Street,Saranac Lake,12983,Franklin,POINT (-74.13185788 44.326364023)
Adirondack Bank,185 Genesee Street,Utica,13501,Oneida,POINT (-75.230696637 43.101432819)
Adirondack Bank,9576 Main Street,Holland Patent,13354,Oneida,POINT (-75.254252486 43.243091809)
Adirondack Bank,296 West Main Street,Ilion,13357,Herkimer,POINT (-75.046665666 43.02026909)
Adirondack Bank,500 East Main Street,Little Falls,13365,Herkimer,POINT (-74.859512353 43.0435137)
Adirondack Bank,1709 Black River Boulevard,Rome,13440,Oneida,POINT (-75.439703667 43.23148207)
Adirondack Bank,214 North Washington Street,Herkimer,13350,Herkimer,POINT (-74.985956128 43.027971766)
Adirondack Bank,29 West Main Street,Mohawk,13407,Herkimer,POINT (-75.005759632 43.010961447)
Adirondack Bank,Utica College,Utica,13501,Oneida,POINT (-75.2722675 43.0957378)
Adirondack Bank,13150 State Route 12,Boonville,13309,Oneida,POINT (-75.315752586 43.476258159)
Adirondack Bank,136 Oriskany Boulevard,Whitesboro,13492,Oneida,POINT (-75.293157071 43.120375584)
Adirondack Bank,448 Route 3,Plattsburgh,12901,Clinton,POINT (-73.491863363 44.696861033)
Adirondack Bank,38 Hadjis Way,Lake Placid,12946,Essex,POINT (-73.998671702 44.296740072)
Adirondack Bank,139 Church Street Extension,Saranac Lake,12983,Franklin,POINT (-74.130519291 44.328379242)
Adirondack Bank,108 Codling Street,Old Forge,13420,Herkimer,POINT (-74.970972387 43.711932382)
Adirondack Bank,2817 Genesee Street,Utica,13501,Oneida,POINT (-75.284479789 43.074601424)
Adirondack Bank,4697 Commercial Drive,New Hartford,13413,Oneida,POINT (-75.3116478 43.089745763)
"Adirondack Trust Company, The",79 Main Street,Queensbury,12804,Warren,POINT (-73.672140331 43.299419574)
"Adirondack Trust Company, The",350 Canada Street,Lake George,12845,Warren,POINT (-73.711658071 43.426929611)
"Adirondack Trust Company, The",51B Luther Forest Blvd.,Malta,12118,Saratoga,POINT (-73.785264172 42.947895673)
"Adirondack Trust Company, The",315 Church Street,Saratoga Springs,12866,Saratoga,POINT (-73.804720162 43.085479333)
"Adirondack Trust Company, The",322 RUHLE ROAD,BALLSTON LAKE,12019,Saratoga,POINT (-73.808589752 42.936172827)
"Adirondack Trust Company, The",376 Bay Road,Queensbury,12804,Saratoga,POINT (-73.652562971 43.335425213)
"Adirondack Trust Company, The",224 Church Avenue,Ballston Spa,12020,Saratoga,POINT (-73.852107587 42.990215399)
"Adirondack Trust Company, The",13 Triebel Avenue,Ballston Spa,12020,Saratoga,POINT (-73.851310083 43.04791163)
"Adirondack Trust Company, The",3017 Route  50,Wilton,12866,Saratoga,POINT (-73.747198262 43.099994316)
"Adirondack Trust Company, The",162 Northline Road,Ballston Spa,12020,Saratoga,POINT (-73.837981231 43.02299719)
"Adirondack Trust Company, The",Route  50  and  Route 9,Saratoga Springs,12866,Saratoga,POINT (-73.771113005 43.092131001)
"Adirondack Trust Company, The",112 Broadway,Saratoga Springs,12866,Saratoga,POINT (-73.788524481 43.068503758)
"Adirondack Trust Company, The",650 Maple Avenue - Route 9,Wilton,12866,Saratoga,POINT (-73.767573328 43.123225054)
"Adirondack Trust Company, The",2510 Route 9,Malta,12020,Saratoga,POINT (-73.79309748 42.972444842)
"Adirondack Trust Company, The",473 Broadway,Saratoga Springs,12866,Saratoga,POINT (-73.7852459 43.08316664)
Advantage Federal C.U.,225 WEST BROAD STREET,ROCHESTER,14614,Monroe,POINT (-77.617765599 43.153531083)
Advantage Federal C.U.,70 Metro Park,Rocheter,14623,Monroe,POINT (-77.616130373 43.09820675)
Advantage Federal C.U.,1425 Portland Avenue,Rochester,14621,Monroe,POINT (-77.585588394 43.191533793)
Advantage Federal C.U.,601 ELMWOOD AVENUE,ROCHESTER,14642,Monroe,POINT (-77.623587417 43.122832194)
Advantage Federal C.U.,1625 MOUNT HOPE AVENUE,ROCHESTER,14620,Monroe,POINT (-77.621020376 43.11828979)
Advantage Federal C.U.,38 LOMB MEMORIAL DRIVE,ROCHESTER,14623,Monroe,POINT (-77.680566757 43.082569094)
Advantage Federal C.U.,1975 BUFFALO ROAD,ROCHESTER,14624,Monroe,POINT (-77.70783929 43.147462962)
Advantage Federal C.U.,2515 BROWNCROFT BOULEVARD,ROCHESTER,14626,Monroe,POINT (-77.504565314 43.153323672)
