SUMMARIZATION_LEVEL,NAME,ORGANIZATION_CITY,ORGANIZATION_ZIP,SERVICE_DESCRIPTION,SERVICE_METHOD_NAME,MEDIAN_ALLOWED_AMT,LOWER_25_ALLOWED_AMT,UPPER_75_ALLOWED_AMT,REPORTING_PERIOD_BEGIN_DT,REPORTING_PERIOD_END_DT
Organization,Capital Medical Center,Olympia,98502.0,Spinal Fusion,Inpatient APR,40476.04,36231.27,52561.22,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Capital Medical Center,Olympia,98502.0,Cesarean Section,Inpatient APR,12073.96,10094.25,13275.67,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Multicare Deaconess Hospital,Spokane,99204.0,Sleeve Gastrectomy,Inpatient APR,24307.5,20583.4,25539.04,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Harrison Medical Center,Bremerton,98310.0,Total Knee Replacement,Inpatient APR,44721.76,41510.38,47782.22,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Highline Medical Center,Tukwila,98168.0,Vaginal Delivery,Inpatient APR,10246.62,7600.93,10747.78,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Kadlec Regional Medical Center,Richland,99352.0,Total Hip Replacement,Inpatient APR,23565.88,23158.39,24463.77,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Kadlec Regional Medical Center,Richland,99352.0,Cesarean Section,Inpatient APR,11344.83,10487.29,13604.9,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Kadlec Regional Medical Center,Richland,99352.0,Vaginal Delivery,Inpatient APR,8833.53,8204.72,9617.88,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Kittitas Valley Healthcare,Ellensburg,98926.0,Total Knee Replacement,Inpatient APR,44726.82,43315.18,46026.9,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Multicare Auburn Medical Center,Auburn,98001.0,Total Hip Replacement,Inpatient APR,28098.91,22885.25,36106.73,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Multicare Good Samaritan Hospital,Puyallup,98372.0,Vaginal Delivery,Inpatient APR,12329.04,10838.41,13806.85,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Multicare Tacoma General Hospital,Tacoma,98405.0,Spinal Fusion,Inpatient APR,76746.51,73136.05,79013.76,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Multicare Tacoma General Hospital,Tacoma,98405.0,Total Hysterectomy,Inpatient APR,22381.74,20734.79,26125.27,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Peacehealth Southwest Medical Center,Vancouver,98664.0,Vaginal Delivery,Inpatient APR,13060.51,11249.2,14166.37,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Peacehealth St. Joseph Medical Center,Bellingham,98225.0,Cesarean Section,Inpatient APR,24776.81,21449.65,28447.09,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Peacehealth St. Joseph Medical Center,Bellingham,98225.0,Vaginal Delivery,Inpatient APR,14176.39,11174.43,18056.44,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Pmh Medical Center,Prosser,99350.0,Vaginal Delivery,Inpatient APR,10378.87,9387.72,13515.75,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Providence Sacred Heart Medical Center & Children'S Hospital,Spokane,99204.0,Total Hip Replacement,Inpatient APR,32090.63,25945.53,37721.57,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Skagit Valley Hospital,Mount Vernon,98274.0,Vaginal Delivery,Inpatient APR,9274.39,8457.68,10052.14,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Swedish Cherry Hill,Seattle,98122.0,Spinal Fusion,Inpatient APR,69426.81,63095.36,85792.39,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Swedish First Hill,Seattle,98122.0,Total Hysterectomy,Inpatient APR,20814.77,17657.39,24648.63,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Trios Health,Kennewick,99336.0,Cesarean Section,Inpatient APR,11727.1,10737.55,13762.39,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Uw Medicine - Northwest Hospital & Medical Center,Seattle,98133.0,Total Hip Replacement,Inpatient APR,27272.38,21849.25,28005.85,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Virginia Mason Medical Center,Seattle,98101.0,Gastric Bypass,Inpatient APR,24080.48,22397.37,24306.32,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Virginia Mason - Yakima Valley Memorial Hospital,Yakima,98902.0,Total Knee Replacement,Inpatient APR,25691.39,24733.98,26178.67,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Cascade Valley Hospital And Clinics,Arlington,98223.0,Diagnostic Colonoscopy,Outpatient Surgery,3068.0,2725.93,3990.5,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Columbia Basin Hospital,Ephrata,98823.0,Transvaginal Ultrasound: Non-obstetric,Outpatient Diagnostic,450.33,343.8,483.71,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
