指标,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
城镇居民平均每百户年末家用汽车拥有量,51.4,50.1,44.9,43.2,41.0,37.5,35.5,30.0,25.7,22.3,,,,,,,,,
城镇居民平均每百户年末摩托车拥有量,17.9,18.2,18.2,18.7,19.5,20.8,20.9,22.7,24.5,20.8,,,,,,,,,
城镇居民平均每百户年末电动助力车拥有量,70.5,68.8,62.0,59.4,55.0,53.1,49.7,45.8,42.5,39.0,,,,,,,,,
城镇居民平均每百户年末洗衣机拥有量,100.6,100.5,99.7,99.2,97.7,95.7,94.2,92.3,90.7,88.4,,,,,,,,,
城镇居民平均每百户年末电冰箱（柜）拥有量,104.4,104.2,103.1,102.5,100.9,98.0,96.4,94.0,91.7,89.2,,,,,,,,,
城镇居民平均每百户年末微波炉拥有量,56.0,55.4,56.5,55.7,55.2,56.9,55.3,53.8,52.6,50.6,,,,,,,,,
城镇居民平均每百户年末彩色电视机拥有量,120.6,120.3,123.0,122.8,121.3,123.8,122.3,122.3,122.0,118.6,,,,,,,,,
城镇居民平均每百户年末空调拥有量,163.5,161.7,149.6,148.3,142.2,128.6,123.7,114.6,107.4,102.2,,,,,,,,,
城镇居民平均每百户年末热水器拥有量,98.2,98.1,100.7,98.2,97.2,90.7,88.7,85.6,83.0,80.3,,,,,,,,,
城镇居民平均每百户年末排油烟机拥有量,83.2,82.3,82.6,81.7,79.1,73.7,71.5,69.2,68.2,66.1,,,,,,,,,
城镇居民平均每百户年末移动电话拥有量,254.0,253.6,248.7,247.4,243.1,235.4,231.4,223.8,216.6,206.1,,,,,,,,,
城镇居民平均每百户年末计算机拥有量,63.4,63.2,72.9,72.2,73.1,80.8,80.0,78.5,76.2,71.5,,,,,,,,,
城镇居民平均每百户年末照相机拥有量,12.9,12.7,19.3,19.5,20.2,29.1,28.5,33.0,35.2,34.0,,,,,,,,,
